rank,player,url,source_platform,success,from_cache,status_code,error,content_length,fetched_at
1,ARSAL PURI,https://rk9.gg/teamlist/public/IN02wbUMQOt2eNv12cgC/8VoM9hgsZ4lhRhaviG1m,rk9,True,False,200,,76277,1781167720.1914253
3,Wolfe Glick,https://rk9.gg/teamlist/public/IN02wbUMQOt2eNv12cgC/MsT07hHqKtXSdPePxzOG,rk9,True,False,200,,76113,1781167720.6497443
4,TingusThePingus,https://play.limitlesstcg.com/tournament/69cd69a336f5b5c303dc45bb/player/tingusthepingus/teamlist,limitless,True,True,None,,14534,1781167720.7501535
5,ARegularGuy,https://play.limitlesstcg.com/tournament/69d54e0c800d329be2e74f86/player/aregularguy/teamlist,limitless,True,False,200,,14395,1781167722.8871522
6,Altkyle,https://play.limitlesstcg.com/tournament/69fc7a39e23aab068aadd155/player/altkyle/teamlist,limitless,True,False,200,,14193,1781167723.5656087
7,PokeReplay,https://play.limitlesstcg.com/tournament/6a196f5856b11a587a94281c/player/pokereplay/teamlist,limitless,True,False,200,,14484,1781167725.0646312
8,GielBakker,https://play.limitlesstcg.com/tournament/6a157c210f6c1f089986159a/player/gielbakker/teamlist,limitless,True,False,200,,14560,1781167726.564012
10,Snorlaxpikachu1,https://play.limitlesstcg.com/tournament/69eb09bb78b359b789d6aa3d/player/snorlaxpikachu1/teamlist,limitless,True,False,200,,14486,1781167728.0658188
11,GengarIsMad,https://play.limitlesstcg.com/tournament/6a1843740f6c1f08998629ca/player/gengarismad/teamlist,limitless,True,False,200,,14498,1781167729.5647547
12,Gabuu,https://play.limitlesstcg.com/tournament/69cd696dd478313a15a3921b/player/gabuu/teamlist,limitless,True,False,200,,14214,1781167731.0658245
13,Michael Zhang,https://rk9.gg/teamlist/public/IN02wbUMQOt2eNv12cgC/ByRb88oyZmnEyj1PEN23,rk9,True,False,200,,76023,1781167733.2880301
14,Rezeptritter,https://play.limitlesstcg.com/tournament/69f628704f71d664893ea80a/player/rezeptritter/teamlist,limitless,True,False,200,,14075,1781167734.065006
15,UsagiFoo,https://play.limitlesstcg.com/tournament/6a21bb1847f3797bf6babaf5/player/usagifoo/teamlist,limitless,True,False,200,,14405,1781167735.5647051
16,SaviorofBiryani,https://play.limitlesstcg.com/tournament/6a14cc4c8c163b8097997614/player/saviorofbiryani/teamlist,limitless,True,False,200,,14494,1781167737.064443
17,apfr,https://play.limitlesstcg.com/tournament/6a035233dfbdf089cbbd8cf8/player/apfr/teamlist,limitless,True,False,200,,14094,1781167738.5664608
18,Hrishi,https://play.limitlesstcg.com/tournament/6a19fe8d47f3797bf6ba6bca/player/hrishi/teamlist,limitless,True,False,200,,14292,1781167740.0651371
19,QueerCrocodile,https://play.limitlesstcg.com/tournament/6a1e65ed47f3797bf6ba9b6b/player/queercrocodile/teamlist,limitless,True,False,200,,14524,1781167741.5651472
20,BatCoach,https://play.limitlesstcg.com/tournament/6a0059b2dfbdf089cbbd6e9e/player/batcoach/teamlist,limitless,True,False,200,,14157,1781167743.0665724
21,Ksomon,https://play.limitlesstcg.com/tournament/69e3bf4078b359b789d65f50/player/ksomon/teamlist,limitless,True,False,200,,14106,1781167744.566238
22,Altkyle,https://play.limitlesstcg.com/tournament/6a13fdd30f6c1f089986093b/player/altkyle/teamlist,limitless,True,False,200,,14517,1781167746.0648823
23,Gabeeel,https://play.limitlesstcg.com/tournament/6a1c4d7956b11a587a944b83/player/gabeeel/teamlist,limitless,True,False,200,,14452,1781167747.5656126
24,katabo,https://play.limitlesstcg.com/tournament/6a19947356b11a587a942a3a/player/katabo/teamlist,limitless,True,False,200,,14470,1781167749.0905197
25,Rururinillo,https://play.limitlesstcg.com/tournament/6a05a50edfbdf089cbbd9f86/player/rururinillo/teamlist,limitless,True,False,200,,14129,1781167750.5666726
26,57 62,https://play.limitlesstcg.com/tournament/6a0de44013f957d6d4b4be7b/player/lily23/teamlist,limitless,True,False,200,,14139,1781167752.0671148
27,vedantff12345,https://play.limitlesstcg.com/tournament/6a22207447f3797bf6bac061/player/vedantff12345/teamlist,limitless,True,False,200,,14451,1781167753.5655324
28,PJoker,https://play.limitlesstcg.com/tournament/6a1c39b156b11a587a944b2e/player/pjoker/teamlist,limitless,True,False,200,,14351,1781167755.0658493
29,Tabook,https://play.limitlesstcg.com/tournament/6a01e0ebdfbdf089cbbd7deb/player/tabook/teamlist,limitless,True,False,200,,14322,1781167756.5669653
30,aerxdri,https://play.limitlesstcg.com/tournament/6a15cd8b0f6c1f08998617be/player/aerxdri/teamlist,limitless,True,False,200,,14411,1781167758.0653539
32,SuperDialga,https://play.limitlesstcg.com/tournament/6a1cceb847f3797bf6ba8b3b/player/superdialga/teamlist,limitless,True,False,200,,14561,1781167759.565577
33,TypNull07,https://play.limitlesstcg.com/tournament/6a0b24c113f957d6d4b4ac3a/player/typnull07/teamlist,limitless,True,False,200,,14100,1781167761.0657887
34,sword,https://play.limitlesstcg.com/tournament/69cd6904d478313a15a39215/player/sword/teamlist,limitless,True,False,200,,14130,1781167762.5691757
35,Samuel T,https://play.limitlesstcg.com/tournament/6a131c910f6c1f0899860158/player/samuelthompson/teamlist,limitless,True,False,200,,14206,1781167764.0656347
36,Daredevilzz26,https://play.limitlesstcg.com/tournament/6a0c246d13f957d6d4b4b555/player/daredevilzz26/teamlist,limitless,True,False,200,,14421,1781167765.5669765
37,CptAuroOG,https://play.limitlesstcg.com/tournament/6a13fc218c163b8097996c62/player/cptauroog/teamlist,limitless,True,False,200,,14435,1781167767.0653815
38,Altkyle,https://play.limitlesstcg.com/tournament/69e2b31878b359b789d64d36/player/altkyle/teamlist,limitless,True,False,200,,14468,1781167768.5676503
39,Kotori,https://play.limitlesstcg.com/tournament/6a0a8e49dfbdf089cbbdc825/player/kotori/teamlist,limitless,True,False,200,,14161,1781167770.0672126
40,SoulVGC,https://play.limitlesstcg.com/tournament/6a15fb678c163b8097997edd/player/soulvgc/teamlist,limitless,True,False,200,,14416,1781167771.565827
41,Sabo11,https://play.limitlesstcg.com/tournament/69eefa72f9b24b9bd5b02a26/player/sabo11/teamlist,limitless,True,False,200,,14193,1781167773.0673728
42,Paghy,https://play.limitlesstcg.com/tournament/6a0a405613f957d6d4b4a763/player/paghy/teamlist,limitless,True,False,200,,14131,1781167774.5658913
43,Gustav H,https://play.limitlesstcg.com/tournament/6a05e7f713f957d6d4b47be8/player/mcminionulti/teamlist,limitless,True,False,200,,14052,1781167776.0680692
44,AntZim,https://play.limitlesstcg.com/tournament/6a21d43e47f3797bf6babc47/player/antzim/teamlist,limitless,True,False,200,,14446,1781167777.5668547
45,Hyokami,https://play.limitlesstcg.com/tournament/6a186d77148dfa3544f3bbe4/player/hyokami/teamlist,limitless,True,False,200,,14371,1781167779.0673103
46,Risten,https://play.limitlesstcg.com/tournament/6a1f90ed56b11a587a9471e8/player/risten/teamlist,limitless,True,False,200,,14432,1781167780.5662196
47,Olymak,https://play.limitlesstcg.com/tournament/6a0c58fd13f957d6d4b4b60c/player/olymak/teamlist,limitless,True,False,200,,14430,1781167782.0672143
48,LenVGC,https://play.limitlesstcg.com/tournament/6a0de6e6dfbdf089cbbddec1/player/lenvgc/teamlist,limitless,True,False,200,,14433,1781167783.567806
49,Raichu123,https://play.limitlesstcg.com/tournament/6a141fe98c163b8097996cc4/player/raichu123/teamlist,limitless,True,False,200,,14486,1781167785.067202
50,Kevmetal,https://play.limitlesstcg.com/tournament/6a17f60e0f6c1f0899862863/player/kevmetal/teamlist,limitless,True,False,200,,14510,1781167786.5669343
51,washy,https://play.limitlesstcg.com/tournament/6a15a9698c163b8097997c21/player/washy/teamlist,limitless,True,False,200,,14477,1781167788.0675426
53,Magnetman,https://play.limitlesstcg.com/tournament/6a1cb96047f3797bf6ba89b5/player/magnetman/teamlist,limitless,True,False,200,,14435,1781167789.56741
54,Rahzar,https://play.limitlesstcg.com/tournament/6a14f7448c163b80979978a9/player/rahzar/teamlist,limitless,True,False,200,,14489,1781167791.067733
55,Altkyle,https://play.limitlesstcg.com/tournament/6a072608dfbdf089cbbdaa89/player/altkyle/teamlist,limitless,True,False,200,,14145,1781167792.5674176
56,Gioc1902,https://play.limitlesstcg.com/tournament/69f21d93e23aab068aad52b6/player/gioc1902/teamlist,limitless,True,False,200,,14063,1781167794.066643
57,Draxolotl,https://play.limitlesstcg.com/tournament/6a1547a50f6c1f0899861526/player/draxolotl/teamlist,limitless,True,False,200,,14392,1781167795.5672367
58,Renecuajo,https://play.limitlesstcg.com/tournament/6a1f9de947f3797bf6baa892/player/renecuajo/teamlist,limitless,True,False,200,,14344,1781167797.0683653
60,maxdeesevgc,https://play.limitlesstcg.com/tournament/6a1d749747f3797bf6ba8d9b/player/maxdeesevgc/teamlist,limitless,True,False,200,,14534,1781167798.5682268
61,Altkyle,https://play.limitlesstcg.com/tournament/6a09fad6dfbdf089cbbdc38c/player/altkyle/teamlist,limitless,True,False,200,,14092,1781167800.069213
62,OrangeSteve,https://play.limitlesstcg.com/tournament/69eb099278b359b789d6aa3c/player/orangesteve/teamlist,limitless,True,False,200,,14098,1781167801.568529
64,merrypasta,https://play.limitlesstcg.com/tournament/6a1f9b0147f3797bf6baa87b/player/merrypasta/teamlist,limitless,True,False,200,,14402,1781167803.068816
65,Kotori,https://play.limitlesstcg.com/tournament/6a13e4ed0f6c1f089986091f/player/kotori/teamlist,limitless,True,False,200,,14379,1781167804.5674605
66,Eduardo Cunha,https://play.limitlesstcg.com/tournament/6a1745d48c163b809799891b/player/mangueiras/teamlist,limitless,True,False,200,,14478,1781167806.0678535
67,Ciemmelle,https://play.limitlesstcg.com/tournament/6a0c5153dfbdf089cbbdd4c2/player/ciemmelle/teamlist,limitless,True,False,200,,14107,1781167807.5684803
68,Zachvgc2,https://play.limitlesstcg.com/tournament/69f8a712e23aab068aada7f0/player/zachvgc2/teamlist,limitless,True,False,200,,14060,1781167809.0951612
69,HeroicTitan,https://play.limitlesstcg.com/tournament/69fc336fe23aab068aadd055/player/heroictitan/teamlist,limitless,True,False,200,,14183,1781167810.5920858
70,yungelmersglue,https://play.limitlesstcg.com/tournament/69eb09e448d465883f71b854/player/yungelmersglue/teamlist,limitless,True,False,200,,14559,1781167812.0925002
71,Aarubi,https://play.limitlesstcg.com/tournament/6a145c930f6c1f0899860ae9/player/aarubi/teamlist,limitless,True,False,200,,14121,1781167813.5930955
72,LuckySama,https://play.limitlesstcg.com/tournament/6a07fc2a13f957d6d4b49150/player/luckysama/teamlist,limitless,True,False,200,,14134,1781167815.0935843
73,Lojica1,https://play.limitlesstcg.com/tournament/6a1c140147f3797bf6ba8421/player/lojica1/teamlist,limitless,True,False,200,,14371,1781167816.5940323
74,merrypasta,https://play.limitlesstcg.com/tournament/6a02c3b713f957d6d4b4673c/player/merrypasta/teamlist,limitless,True,False,200,,14148,1781167818.0955818
75,almondspy,https://play.limitlesstcg.com/tournament/6a1826260f6c1f08998628ef/player/almondspy/teamlist,limitless,True,False,200,,14462,1781167819.5924397
76,Faiyex,https://play.limitlesstcg.com/tournament/6a01525f13f957d6d4b458ae/player/faiyex/teamlist,limitless,True,False,200,,14076,1781167821.0935857
77,gahelar,https://play.limitlesstcg.com/tournament/6a079438dfbdf089cbbdb084/player/andruapple/teamlist,limitless,True,False,200,,14555,1781167822.5940948
78,AndruApple,https://play.limitlesstcg.com/tournament/6a14cc4c8c163b8097997614/player/queercrocodile/teamlist,limitless,True,False,200,,14551,1781167824.0928092
80,Pendraggon26,https://play.limitlesstcg.com/tournament/6a1642ec0f6c1f0899861d0a/player/wochienreaction/teamlist,limitless,True,False,200,,14455,1781167825.5936568
81,ILS | L,https://play.limitlesstcg.com/tournament/6a19a6fc56b11a587a942bbf/player/3cake/teamlist,limitless,True,False,200,,14465,1781167827.0935597
82,3cake,https://play.limitlesstcg.com/tournament/6a1784e98c163b8097998b28/player/gabeeel/teamlist,limitless,True,False,200,,14396,1781167828.6073966
84,Ally,https://play.limitlesstcg.com/tournament/6a18428a8c163b8097998d8f/player/zantut/teamlist,limitless,True,False,200,,14505,1781167830.0933962
85,Zantut,https://play.limitlesstcg.com/tournament/6a1cc61247f3797bf6ba8a8d/player/blueuak/teamlist,limitless,True,False,200,,14361,1781167831.5952222
86,blueuak,https://play.limitlesstcg.com/tournament/6a08b31ddfbdf089cbbdb8fc/player/dreepyg/teamlist,limitless,True,False,200,,14281,1781167833.0928862
88,Jin-Hao Jiang,https://play.limitlesstcg.com/tournament/6a0f02afdfbdf089cbbde577/player/hush/teamlist,limitless,True,False,200,,14126,1781167834.594473
90,Hush,https://play.limitlesstcg.com/tournament/6a092bb9dfbdf089cbbdbe91/player/almondspy/teamlist,limitless,True,False,200,,14104,1781167836.0951755
92,Arash Ommati,https://play.limitlesstcg.com/tournament/6a0b5bcadfbdf089cbbdcd11/player/nov_a/teamlist,limitless,True,False,200,,14152,1781167837.5927951
93,WoChienReaction,https://play.limitlesstcg.com/tournament/6a1a45ad47f3797bf6ba6ff2/player/gaty/teamlist,limitless,True,False,200,,14386,1781167839.0937917
95,Gaty,https://play.limitlesstcg.com/tournament/6a13fc750f6c1f0899860937/player/teto2106vgc/teamlist,limitless,True,False,200,,14099,1781167840.593397
96,Noah Smith,https://play.limitlesstcg.com/tournament/6a0c9bc6dfbdf089cbbdd653/player/fluffy_m1n/teamlist,limitless,True,False,200,,14116,1781167842.0940425
97,Teto2106VGC,https://play.limitlesstcg.com/tournament/69fa1b7b4f71d664893ed940/player/kojay/teamlist,limitless,True,False,200,,14149,1781167843.5979946
98,Kojay,https://play.limitlesstcg.com/tournament/6a1da0b456b11a587a94571f/player/bobelephant/teamlist,limitless,True,False,200,,14388,1781167845.0936422
99,BobElephant,https://play.limitlesstcg.com/tournament/6a1f21a956b11a587a946b35/player/marvvgc/teamlist,limitless,True,False,200,,14443,1781167846.5938303
100,MarvVGC,https://play.limitlesstcg.com/tournament/6a07f9ad13f957d6d4b4913b/player/dirtyshirt/teamlist,limitless,True,False,200,,14159,1781167848.0956056
101,Dirtyshirt,https://play.limitlesstcg.com/tournament/6a2040eb47f3797bf6baac5c/player/jpxl/teamlist,limitless,True,False,200,,14452,1781167849.5943065
102,JPXL,https://play.limitlesstcg.com/tournament/6a064327dfbdf089cbbda464/player/gephicka/teamlist,limitless,True,False,200,,14103,1781167851.0952163
103,gephicka,https://play.limitlesstcg.com/tournament/6a0414a813f957d6d4b472b0/player/queercrocodile/teamlist,limitless,True,False,200,,14145,1781167852.5949967
104,QueerCrocodile,https://play.limitlesstcg.com/tournament/6a0561c913f957d6d4b479dc/player/punihina/teamlist,limitless,True,False,200,,14188,1781167854.0956047
105,Punihina,https://play.limitlesstcg.com/tournament/69f746824f71d664893eb5d3/player/elctrolychee/teamlist,limitless,True,False,200,,14082,1781167855.597198
106,Brent Santiago,https://play.limitlesstcg.com/tournament/6a096c17dfbdf089cbbdbfef/player/tinxolibre/teamlist,limitless,True,False,200,,14087,1781167857.096924
107,TinxoLibre,https://play.limitlesstcg.com/tournament/6a1307cb0f6c1f08998600bc/player/frostydog69/teamlist,limitless,True,False,200,,14395,1781167858.5956712
108,FrostyDog69,https://play.limitlesstcg.com/tournament/69e2b2f578b359b789d64d31/player/altkyle/teamlist,limitless,True,False,200,,14156,1781167860.095429
109,Altkyle,https://play.limitlesstcg.com/tournament/6a09acbe13f957d6d4b4a24a/player/terronevgc/teamlist,limitless,True,False,200,,14097,1781167861.5964856
110,TerroneVGC,https://play.limitlesstcg.com/tournament/69e3bf4f78b359b789d65f52/player/nutchup/teamlist,limitless,True,False,200,,14124,1781167863.0963202
111,Nutchup,https://play.limitlesstcg.com/tournament/6a09f29fdfbdf089cbbdc34f/player/felipet/teamlist,limitless,True,False,200,,14166,1781167864.595538
112,NMR | FelipeT,https://play.limitlesstcg.com/tournament/6a0b92d813f957d6d4b4b154/player/soraxjm/teamlist,limitless,True,False,200,,14177,1781167866.095344
114,Yegorushhka,https://play.limitlesstcg.com/tournament/6a1529b88c163b8097997a5b/player/tayopkmn/teamlist,limitless,True,False,200,,14107,1781167867.595299
115,TayOpkMn,https://play.limitlesstcg.com/tournament/69ed724b54195646133395cf/player/abe/teamlist,limitless,True,False,200,,14425,1781167869.0967047
116,Abe,https://play.limitlesstcg.com/tournament/6a01493513f957d6d4b45872/player/queercrocodile/teamlist,limitless,True,False,200,,14139,1781167870.5960689
118,Altkyle,https://play.limitlesstcg.com/tournament/6a150b3c8c163b8097997942/player/andy/teamlist,limitless,True,False,200,,14074,1781167872.096867
119,a b ‎,https://play.limitlesstcg.com/tournament/6a15f8150f6c1f089986197d/player/wisedraco2/teamlist,limitless,True,False,200,,14504,1781167873.5968132
120,WiseDraco2,https://play.limitlesstcg.com/tournament/6a0cd8de13f957d6d4b4b8f0/player/kaori_uy/teamlist,limitless,True,False,200,,14145,1781167875.0963001
121,kaori_uy,https://play.limitlesstcg.com/tournament/6a1495c28c163b80979972e4/player/megacisco/teamlist,limitless,True,False,200,,14480,1781167876.5954692
122,megacisco,https://play.limitlesstcg.com/tournament/6a0095c513f957d6d4b44daf/player/queercrocodile/teamlist,limitless,True,False,200,,14231,1781167878.0963402
123,QueerCrocodile,https://play.limitlesstcg.com/tournament/69ed715ca055fefeb78d4f49/player/samuelthompson/teamlist,limitless,True,False,200,,14210,1781167879.5963793
124,Samuel T,https://play.limitlesstcg.com/tournament/6a02276413f957d6d4b45eb8/player/tenkipk/teamlist,limitless,True,False,200,,14087,1781167881.096262
125,TenkiPK,https://play.limitlesstcg.com/tournament/69cd69a336f5b5c303dc45bb/player/foghorn/teamlist,limitless,True,False,200,,14479,1781167882.5961125
126,Foghorn,https://play.limitlesstcg.com/tournament/6a1ce79f56b11a587a945359/player/drwildy/teamlist,limitless,True,False,200,,14496,1781167884.097236
127,Drwildy,https://play.limitlesstcg.com/tournament/6a1a739356b11a587a9436e4/player/bhelixb/teamlist,limitless,True,False,200,,14519,1781167885.5956407
132,Rosha Volari,https://play.limitlesstcg.com/tournament/6a0c9bc6dfbdf089cbbdd653/player/fluffy_m1n/teamlist,limitless,True,True,None,,14116,1781167885.6959474
134,Cactusmax,https://play.limitlesstcg.com/tournament/6a19bfed47f3797bf6ba6857/player/stuart/teamlist,limitless,True,False,200,,14470,1781167887.0978222
135,Stuart,https://play.limitlesstcg.com/tournament/6a07af2813f957d6d4b48e0f/player/spoinkman/teamlist,limitless,True,False,200,,14026,1781167888.5954404
138,Lorbrun,https://play.limitlesstcg.com/tournament/6a0dd3b4dfbdf089cbbdde3c/player/volcaronavgc/teamlist,limitless,True,False,200,,14565,1781167890.0969956
144,QueerCrocodile,https://play.limitlesstcg.com/tournament/695ef37d4500833d87026715/player/orangepunk/teamlist,limitless,True,False,200,,14167,1781167891.5989945
145,OrangePunk,https://play.limitlesstcg.com/tournament/6a1c397a47f3797bf6ba8533/player/unclesam/teamlist,limitless,True,False,200,,14418,1781167893.096427
146,UncleSam,https://play.limitlesstcg.com/tournament/6a1c34ce47f3797bf6ba851d/player/averagememer57/teamlist,limitless,True,False,200,,14480,1781167894.596812
148,BHelixB,https://play.limitlesstcg.com/tournament/6a0c9ebedfbdf089cbbdd662/player/lakenta/teamlist,limitless,True,False,200,,14109,1781167896.096717
149,Lakenta,https://play.limitlesstcg.com/tournament/6a02769213f957d6d4b46428/player/soraxjm/teamlist,limitless,True,False,200,,14168,1781167897.5966806
151,ismaaelh,https://play.limitlesstcg.com/tournament/6a192b1f148dfa3544f3c44d/player/artycode1/teamlist,limitless,True,False,200,,14357,1781167899.09596
154,mr_h,https://play.limitlesstcg.com/tournament/6a1e9bbe56b11a587a946613/player/aung_cow/teamlist,limitless,True,False,200,,14352,1781167900.5965507
156,Weeblewobs,https://play.limitlesstcg.com/tournament/6a196f5856b11a587a94281c/player/carrotman/teamlist,limitless,True,False,200,,14455,1781167902.0973058
157,Carrotman,https://play.limitlesstcg.com/tournament/6a09f29fdfbdf089cbbdc34f/player/boopmydoop/teamlist,limitless,True,False,200,,14166,1781167903.598008
160,Laxidaze3,https://play.limitlesstcg.com/tournament/6a10ef9c0f6c1f089985ed57/player/redpandavgc/teamlist,limitless,True,False,200,,14491,1781167905.0975974
161,redpandavgc,https://play.limitlesstcg.com/tournament/6a08f793dfbdf089cbbdbbf4/player/lord_jay/teamlist,limitless,True,False,200,,14133,1781167906.5976975
162,Lord_Jay,https://play.limitlesstcg.com/tournament/6a0dd05fdfbdf089cbbdde2f/player/lauletnb/teamlist,limitless,True,False,200,,14513,1781167908.0967183
